,ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue
894,43-0971560,Operation Breakthrough Inc,Kansas City,MO,1695772800000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14.0,,4.0,,,,,10.0,,,,,6.0,8.0,,,,,14.0,,,,,,14.0,,14.0,,,21.0,0.0,5.0,0.0,,0.0,,14.0,2.0,,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,191.0,1.0,113.0,6.0,,1.0,,64.0,6.0,,0.0,0.0,170.0,19.0,0.0,2.0,0.0,0.0,189.0,2.0,0.0,0.0,189.0,2.0,0.0,0.0,191.0,0.0,0.0,241868.0,0.0,-1.0,0.0,1.0,36608.66550522648,281280.0,10990423.0,OPERATIONBREAKTHROUGH.ORG,289,16723338.0
898,43-1016961,Oats Inc,Columbia,MO,1677196800000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14.0,1.0,2.0,,,,,11.0,,,,,8.0,6.0,,,,,,,,,,,,,,,,6.0,,,,,,,6.0,,,,,4.0,2.0,,,,,,,,,,,,,,,,583.0,2.0,60.0,12.0,,2.0,,502.0,5.0,,,,230.0,353.0,,,,,,,583.0,,,,583.0,,,,583.0,164769.0,0.0,-1.0,0.0,1.0,23406.001342281877,164769.0,17602240.0,WWW.OATSTRANSIT.ORG,746,29587471.0
899,43-1069741,Epworth Children & Family Services Inc,Saint Louis,MO,1573819102000000000,White/Caucasian/European,Male,,,,,,,,,31.0,,11.0,,,,,20.0,,,,,19.0,12.0,,,,,,,,,,,,,,,,7.0,,5.0,,,,,2.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,153.0,,84.0,1.0,,,,65.0,3.0,,,,,,,,,,,,,,,,,,,,,0.0,242951.0,100.0,1.0,0.0,36826.52195121951,242951.0,7792388.0,WWW.EPWORTH.ORG,206,12399724.0
903,43-1175749,Habitat for Humanity of Kansas City,Kansas City,MO,1692786263000000000,White/Caucasian/European,Female,Decline to state,Decline to state,Person without a disability,,,,,,10.0,,6.0,0.0,,,,4.0,,,,,6.0,4.0,,,,,,,10.0,,,,10.0,,,,10.0,7.0,0.0,2.0,,,,,5.0,,,,,5.0,2.0,,,,,,,,,7.0,,,,,,,68.0,5.0,9.0,5.0,,,,47.0,2.0,,,,32.0,36.0,,,,,,,,,,,,,,,,157919.0,0.0,-1.0,0.0,1.0,38083.81651376147,157919.0,4309055.0,WWW.HABITATKC.ORG,110,10262500.0
905,43-1190760,Ronald McDonald House Charities of Kansas City Inc,Kansas City,MO,1667865600000000000,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,20.0,1.0,4.0,,,,,14.0,1.0,,,,7.0,13.0,,,,,,,,,,,,,,,,6.0,,,,,,,6.0,,,,,4.0,2.0,,,,,6.0,,,1.0,5.0,,,,,,,55.0,,,,,,,,,,,,47.0,7.0,1.0,,,,,,,,,,,,,,,234065.0,160406.0,-45.920352106529684,0.5,0.5,39807.84375,234065.0,2942173.0,WWW.RMHCKC.ORG,66,8017708.0
906,43-1208665,Harvesters-the Community Food Network,Kansas City,MO,1677675003000000000,White/Caucasian/European,Male,,,,,,,,,19.0,0.0,3.0,3.0,,0.0,,13.0,,,,,12.0,7.0,,,,,,,,,,,,,,,,14.0,0.0,2.0,0.0,,0.0,,12.0,,,,,10.0,4.0,,,,,,,,,,,,,,,,140.0,2.0,35.0,5.0,,2.0,,94.0,2.0,,,,71.0,68.0,,1.0,,,,,,,,,,,,,,254564.5,194736.0,-30.722876098923674,0.5,0.5,59553.629213483146,288110.0,11499147.0,WWW.HARVESTERS.ORG,182,143704850.0
912,43-1410297,St Louis Crisis Nursery,Saint Louis,MO,1660694400000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,34.0,0.0,7.0,1.0,,,,26.0,,,,,19.0,15.0,,,,0.0,34.0,,,,34.0,,,,34.0,,,7.0,,,,,,,7.0,,,,,7.0,,,,,,7.0,,,,7.0,,,,7.0,,,99.0,,48.0,3.0,,,,48.0,,,,,99.0,,,,,,99.0,,,,,,99.0,,99.0,,,159236.0,0.0,-1.0,0.0,1.0,25359.770833333332,159236.0,3811043.0,WWW.CRISISNURSERYKIDS.COM,145,5055363.0
914,43-1689138,Cornerstones of Care,KANSAS CITY,MO,1674172800000000000,Black/African American,Female,,,,,,,,,15.0,,4.0,1.0,,,,10.0,,,,,8.0,7.0,,,,,,,,2.0,13.0,,,,,,,6.0,,2.0,,,,,4.0,,,,,4.0,2.0,,,,,,,,,,,,,,,,593.0,4.0,150.0,18.0,,3.0,,397.0,11.0,2.0,8.0,,458.0,135.0,,,,,,,,,,,,,,,,186338.0,167031.66666666666,-11.558486913659092,0.75,0.25,39354.35706214689,186338.0,35516039.0,WWW.CORNERSTONESOFCARE.ORG,889,49630237.0
915,43-1880952,Missouri Foundation for Health,Saint Louis,MO,1689638400000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,15.0,1.0,5.0,2.0,,,,6.0,1.0,,,,7.0,8.0,,,,,,,,1.0,14.0,,,1.0,14.0,,,9.0,,,,,,,,,,,9.0,,,,,9.0,,,,9.0,,,,9.0,,,,9.0,53.0,,3.0,,,,,4.0,1.0,,45.0,,5.0,3.0,,45.0,,,,,53.0,,,,53.0,,,,53.0,248812.4,253096.0,1.6924803236716528,0.4444444444444444,0.5555555555555556,91323.70212765958,388438.0,6548660.0,WWW.MFFH.ORG,56,167005980.0
918,43-6052680,Kansas City Ballet Association,Kansas City,MO,1693353600000000000,White/Caucasian/European,Male,Not transgender (cisgender),,,White/Caucasian/European,Male,Not transgender (cisgender),,,32.0,1.0,3.0,3.0,,0.0,,25.0,,,,,20.0,12.0,,,,,,,,1.0,31.0,,,,,,,10.0,,2.0,,,,,8.0,,,,,4.0,6.0,,,,,10.0,,,1.0,9.0,,,,,,,71.0,1.0,4.0,2.0,,,,61.0,3.0,,,,41.0,30.0,,,,,,,,,,,,,,,,244481.0,244574.0,0.03802530113585254,0.5,0.5,27945.57894736842,244574.0,5798715.0,KCBALLET.ORG,192,12814564.0
921,44-0546278,Kansas City Art Institute,Kansas City,MO,1676332800000000000,Indian,Female,,Decline to state,Decline to state,,,,,,28.0,,4.0,,,,,24.0,,,,,14.0,13.0,1.0,,,,,,,,,,,,,,,6.0,,,,,,,5.0,,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,220.0,7.0,13.0,16.0,,,,122.0,9.0,,53.0,,114.0,106.0,,,,,,,,,,,,,,,,195064.0,252137.0,22.63570995133598,0.6,0.4,41792.71917808219,385197.0,13350013.0,WWW.KCAI.EDU,297,43890370.0
922,44-0579903,United Cerebral Palsy Heartland,SAINT LOUIS,MO,1623249414000000000,White/Caucasian/European,Male,,,Person without a disability,,,,,,14.0,1.0,1.0,1.0,,2.0,,9.0,,,,,8.0,6.0,,,,,,,,,,,,,14.0,,,6.0,,,,,,,6.0,,,,,5.0,1.0,,,,,,,,,,,,,6.0,,,181.0,,97.0,,,1.0,,83.0,,,,,144.0,37.0,,,,,,,,,,,,,,,,151213.0,165441.0,8.6000447289366,0.5,0.5,19779.23150357995,165441.0,8604152.0,WWW.UCPHEARTLAND.ORG,421,13839591.0
924,44-0646347,United Inner City Services,Kansas City,MO,1638284948000000000,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,13.0,,8.0,,,,,5.0,,,,,9.0,4.0,,,,,,,,,,,,,,,,6.0,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,84.0,1.0,52.0,10.0,,,,21.0,,,,,,,,,,,,,,,,,,,,,,174669.0,0.0,-1.0,0.0,1.0,34001.74603174603,174669.0,4458889.0,EARLYSTARTKC.ORG,127,7516233.0
929,45-2384209,Kipp Administrative Services Corporation,PHILADELPHIA,PA,1618444800000000000,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,12.0,,7.0,,,,,5.0,,,,,7.0,5.0,,,,,,,12.0,,,,,,,,,3.0,,2.0,,,,,1.0,,,,,3.0,,,,,,3.0,,,1.0,2.0,,,,,,,295.0,5.0,163.0,12.0,,,,106.0,9.0,,,,218.0,77.0,,,,,,,295.0,,,,,,,,,210979.6,0.0,-1.0,0.0,1.0,30341.579365079364,284044.0,4877937.0,WWW.KIPPPHILADELPHIA.ORG,131,9683835.0
930,45-2424130,Nashville Rescue Mission,Nashville,TN,1635525364000000000,White/Caucasian/European,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,6.0,,,,,3.0,3.0,,,,,,,,,,,,4.0,,1.0,1.0,119.0,0.0,17.0,2.0,,0.0,,71.0,3.0,,4.0,22.0,56.0,63.0,,,,,,,,,,,,11.0,64.0,38.0,6.0,0.0,216346.0,100.0,1.0,0.0,37616.10824742268,216346.0,7513871.0,HTTP://WWW.NASHVILLERESCUEMISSION.ORG/,195,20187859.0
931,45-2736163,New Classrooms Innovation Partners Inc,JERSEY CITY,NJ,1614792868000000000,White/Caucasian/European,Male,,,,,,,,,12.0,,2.0,,,,,,1.0,,9.0,,4.0,8.0,,,,,,,,,,,,,,,,10.0,,,,,,,9.0,1.0,,,,5.0,5.0,,,,,,,,,,,,,,,,89.0,9.0,9.0,5.0,,1.0,,65.0,,,,,49.0,40.0,,,,,,,,,,,,,,,,219172.33333333334,254654.0,13.933284639811925,0.625,0.375,53325.58653846154,396008.0,7476648.0,NEWCLASSROOMS.ORG,112,10051232.0
933,45-2981579,Warrior Canine Connection Inc,Boyds,MD,1674172800000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person with a disability,,,,,,9.0,0.0,1.0,0.0,,0.0,,8.0,0.0,,,,2.0,7.0,,,,0.0,9.0,,,,9.0,,,4.0,5.0,,,8.0,,,,,,,8.0,,,,,5.0,3.0,,,,,,,,3.0,5.0,,,2.0,6.0,,,57.0,,4.0,3.0,,,,49.0,1.0,,,,45.0,11.0,1.0,,,,57.0,,,7.0,50.0,,,5.0,52.0,,,116518.0,0.0,-1.0,0.0,1.0,44945.574468085106,116518.0,2228960.0,WWW.WARRIORCANINECONNECTION.ORG,48,7401761.0
934,45-3199958,Michaels Community Services Corporation,Camden,NJ,1622195005000000000,White/Caucasian/European,Female,Not transgender (cisgender),,,,,,,,7.0,1.0,1.0,,,,,5.0,,,,,2.0,5.0,,,,,,,,,,,,,,,,8.0,,2.0,,,,,6.0,,,,,6.0,2.0,,,,,,,,,,,,,,,,100.0,3.0,56.0,9.0,,,,25.0,7.0,,,,,,,,,,,,,,,,,,,,,0.0,161170.0,100.0,1.0,0.0,41975.21929824561,161170.0,4946345.0,WWW.BETTERTOMORROWS.ORG,115,6564419.0
935,45-3714703,Mongabayorg Corporation,Menlo Park,CA,1632155756000000000,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,12.0,,,,,,,,,,,,5.0,7.0,,,,,,,,,,,,,,,,9.0,4.0,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,60.0,25.0,3.0,11.0,,2.0,,13.0,5.0,,1.0,,28.0,30.0,1.0,1.0,,,,,,,,,,3.0,38.0,1.0,18.0,0.0,222594.0,100.0,1.0,0.0,58574.055555555555,222594.0,1276927.0,WWW.MONGABAY.ORG,19,6871045.0
936,45-3813436,Center for Popular Democracy,Brooklyn,NY,1593441267000000000,White/Caucasian/European,Male,Not transgender (cisgender),Decline to state,,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Decline to state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,3.0,2.0,,,,6.0,1.0,,,,10.0,3.0,,,,,,,,,,,,,,,,105.0,9.0,22.0,22.0,,,,42.0,6.0,4.0,,,68.0,33.0,4.0,,,4.0,101.0,,,,,,,,,,,205763.4,185821.33333333334,-10.731849949054997,0.375,0.625,96394.07352941176,244476.0,14695875.0,WWW.POPULARDEMOCRACY.ORG,144,29210184.0
941,45-5242323,Naomis Village Inc,Argyle,TX,1683849600000000000,White/Caucasian/European,Decline to state,Decline to state,Decline to state,Decline to state,,,,,,7.0,1.0,1.0,,,,,5.0,,,,,3.0,4.0,,,,,7.0,,,,,,,2.0,5.0,,,10.0,,5.0,,,,,5.0,,,,,6.0,4.0,,,,,10.0,,,,,,,2.0,8.0,,,214.0,,206.0,,,,,8.0,,,,,132.0,82.0,,,,,214.0,,,,,,,6.0,208.0,,,0.0,182347.0,100.0,1.0,0.0,77946.33333333333,182347.0,416186.0,WWW.NAOMISVILLAGE.ORG,4,2494501.0
942,46-0332149,Communication Service for the Deaf Inc,AUSTIN,TX,1698624000000000000,White/Caucasian/European,Male,Decline to state,Decline to state,Person with a disability,,,,,,10.0,2.0,2.0,,,,,5.0,,1.0,,,6.0,4.0,,,,1.0,9.0,,,,,,,8.0,2.0,,,8.0,,2.0,,,,,6.0,,,,,4.0,4.0,,,,,,,,,,,,,,8.0,,100.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,100.0,0.0,230168.25,100.0,1.0,0.0,17907.496428571427,371890.0,25991168.0,WWW.CSD.ORG,1404,37013950.0
943,46-0675150,Inspirenola Charter Schools,NEW ORLEANS,LA,1664928000000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,7.0,,7.0,,,,,,,,,,4.0,3.0,,,,,7.0,,,,,,,1.0,6.0,,,6.0,,5.0,,,,,1.0,,,,,2.0,4.0,,,,,,,,,,,,,6.0,,,650.0,7.0,480.0,25.0,,1.0,,102.0,5.0,,30.0,,455.0,195.0,,,,,,,,,,,,,,,,183544.33333333334,225895.25,18.748033288290326,0.5714285714285714,0.42857142857142855,52070.923155737706,351327.0,52275435.0,WWW.INSPIRENOLACHARTERSCHOOLS.ORG,983,84277535.0
944,46-0773284,Human-I-T,BELL,CA,1680566400000000000,Hispanic/Latino/Latina/Latinx,Male,Not transgender (cisgender),Decline to state,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Decline to state,Person without a disability,4.0,1.0,0.0,,,,,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,9.0,1.0,1.0,3.0,,,,4.0,,,,,2.0,7.0,,,,,,,,,,,,,,,,145.0,14.0,21.0,41.0,,1.0,,22.0,3.0,,6.0,37.0,27.0,76.0,,1.0,41.0,,,,,,,,,,,,,0.0,148855.0,100.0,1.0,0.0,23926.234432234432,148855.0,6680717.0,WWW.HUMAN-I-T.ORG,274,12233470.0
945,46-1178146,USA Triathlon of Colorado,Colorado Springs,CO,1619104345000000000,White/Caucasian/European,Male,,,,,,,,,12.0,,2.0,1.0,,,,9.0,,,,,7.0,5.0,,,,,,,,,,,,,,,,7.0,,,,,,,7.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,52.0,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,245996.0,188250.0,-30.67516600265604,0.5,0.5,51997.09589041096,394315.0,5098526.0,www.usatriathlon.org,79,17684167.0
949,46-1657101,Sandy Hook Promise Foundation,Newtown,CT,1635846424000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,9.0,,,,,,,4.0,,,1.0,4.0,2.0,7.0,,,,,5.0,,4.0,,4.0,1.0,4.0,1.0,4.0,,4.0,6.0,,,,,,,5.0,1.0,,,,4.0,2.0,,,,,,,,,,,,,1.0,,5.0,81.0,4.0,14.0,12.0,,,,46.0,4.0,,1.0,,56.0,25.0,,,,,,,,,,,,1.0,8.0,3.0,69.0,178407.33333333334,158759.5,-12.37584732462205,0.4,0.6,78274.58695652174,226110.0,7898194.0,HTTP://WWW.SANDYHOOKPROMISE.ORG,97,25529583.0
950,46-1904997,Prospects Opportunity and Enrichment Inc,Ridgefield,CT,1687996800000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person with a disability,,,,,,3.0,,,,,,,3.0,,,,,1.0,2.0,,,,,3.0,,,,3.0,,,1.0,2.0,,,7.0,1.0,,,,,,6.0,,,,,3.0,4.0,,,,,7.0,,,,,,,3.0,4.0,,,122.0,1.0,1.0,4.0,,,,112.0,4.0,,,,52.0,70.0,,,,,122.0,,,,,,,79.0,39.0,4.0,,0.0,183714.0,100.0,1.0,0.0,23662.736434108527,200218.0,3603635.0,WWW.PROSPECTORTHEATER.ORG,132,3340795.0
951,46-2140915,Anti-Recidivism Coalition,Los Angeles,CA,1680566400000000000,Black/African American,Male,Decline to state,Decline to state,Decline to state,,,,,,19.0,,5.0,,,,,10.0,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,2.0,,,,,2.0,2.0,,,,,,0.0,4.0,,,,4.0,,4.0,,,132.0,7.0,48.0,57.0,,1.0,,19.0,,,,,37.0,95.0,,,,,,,,,,,,,,,,0.0,164290.0,100.0,1.0,0.0,52609.35344827586,164290.0,6266975.0,WWW.ANTIRECIDIVISM.ORG,117,21347280.0
953,46-2594689,Cristo Rey San Jose High School,San Jose,CA,1693440000000000000,Multi-Racial/Multi-Ethnic (2+ races/ethnicities),Female,,,,,,,,,19.0,1.0,,4.0,1.0,,1.0,12.0,,,,,5.0,14.0,,,,,,,,,,,,,,,,7.0,2.0,,2.0,,,,2.0,1.0,,,,5.0,2.0,,,,,,,,,,,,,,,,92.0,14.0,4.0,49.0,,,1.0,19.0,5.0,,,,57.0,34.0,,1.0,,,,,,,,,,,,,,174874.5,190142.0,8.02952530214261,0.5,0.5,39330.46956521739,222854.0,5253037.0,WWW.CRISTOREYSANJOSE.ORG,119,17330154.0
956,46-4340594,Braven Incorporated,Chicago,IL,1684281600000000000,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,,,,,,,11.0,2.0,5.0,,,,,4.0,,,,,6.0,5.0,,,,,,,,,,,,,,,,11.0,3.0,3.0,3.0,,,,2.0,,,,,8.0,3.0,,,,,,,,,,,,,,,,99.0,27.0,27.0,27.0,,,,18.0,,,,,72.0,27.0,,,,,,,,,,,,,,,,236788.0,208081.0,-13.796069799741447,0.5,0.5,,303859.0,8816472.0,WWW.BEBRAVEN.ORG,0,22362245.0
958,46-4510365,Hopeway Foundation,Charlotte,NC,1645717879000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,,,,,,,15.0,,1.0,,,,,13.0,1.0,,,,5.0,10.0,,,,,15.0,,,,15.0,,,,,,,11.0,,,,,,,10.0,1.0,,,,7.0,4.0,,,,,11.0,,,2.0,8.0,0.0,1.0,,,,,101.0,,,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,317946.0,308300.3333333333,-3.128659175414456,0.5,0.5,57389.73333333333,467015.0,8765507.0,hopewayfoundation.org,126,14897275.0
962,47-0376529,Omaha Home for Boys,Omaha,NE,1674604800000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,0.0,4.0,2.0,,0.0,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,,,,,,,,1.0,,,4.0,70.0,,18.0,6.0,,,,36.0,3.0,,5.0,2.0,43.0,27.0,,,,,,,,,,,,3.0,,,67.0,0.0,226998.0,100.0,1.0,0.0,42142.70434782609,226998.0,5073409.0,WWW.OHB.ORG,116,6905612.0
963,47-0376586,YMCA of Greater Omaha,Omaha,NE,1643980634000000000,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Decline to state,,,,,,16.0,1.0,0.0,0.0,,0.0,,15.0,0.0,,,,4.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,8.0,,,,,,,8.0,,,,,4.0,4.0,,,,,,,,,,,,,,,,900.0,30.0,80.0,20.0,,,,770.0,,,,,684.0,216.0,,,,,,,,,,,,,,,,234620.0,197831.0,-18.596175523552933,0.5,0.5,10013.407790143085,234620.0,13029318.0,WWW.METROYMCA.ORG,1260,28201133.0
964,47-0376597,Kids Can Community Center,OMAHA,NE,1689292800000000000,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,16.0,,1.0,2.0,,,,13.0,,,,,10.0,6.0,,,,0.0,15.0,1.0,,,,,,,,,,4.0,,,,,,,4.0,,,,,1.0,3.0,,,,,,,,1.0,3.0,,,,,,,92.0,0.0,50.0,13.0,,0.0,,29.0,0.0,,0.0,0.0,71.0,21.0,,,,,,,,,,,,,,,,0.0,153944.0,100.0,1.0,0.0,15081.853846153846,153944.0,2114585.0,WWW.KIDSCAN.ORG,131,4788785.0
965,47-0376606,Father Flanagans Boys Home,Boys Town,NE,1694390400000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,16.0,1.0,3.0,1.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,13.0,,2.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,3435.0,87.0,465.0,273.0,,23.0,12.0,2473.0,102.0,,,,2453.0,982.0,,,,,,,,,,,,369.0,2902.0,164.0,,537317.8,525828.0909090909,-2.18506947223851,0.6875,0.3125,54022.512723607964,1305424.0,222886051.0,http://www.boystown.org,3985,421687874.0
966,47-0376612,Catholic Charities of the Archdiocese of Omaha Inc,Omaha,NE,1687824000000000000,White/Caucasian/European,Female,,,,,,,,,17.0,,,1.0,,,,16.0,,,,,6.0,11.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,35.0,20.0,,,,,,,,,,,,,,,,158956.0,0.0,-1.0,0.0,1.0,38881.98809523809,158956.0,3425043.0,WWW.CCOMAHA.ORG,85,7205973.0
967,47-0378995,Nebraska Childrens Home Society Inc,Omaha,NE,1686873600000000000,White/Caucasian/European,Female,,,,,,,,,14.0,1.0,3.0,1.0,,,,8.0,1.0,,,,8.0,6.0,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,1.0,5.0,,,,,,,,,,,,,,,,,110.0,2.0,13.0,13.0,,,,80.0,2.0,,,,99.0,11.0,,,,,,,,,,,,,,,,158942.0,0.0,-1.0,0.0,1.0,50979.88372093023,158942.0,6735347.0,WWW.NCHS.ORG,130,10436899.0
969,47-0457872,Easter Seal Society of Nebraska Inc,Omaha,NE,1688571715000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,,,,,,,17.0,1.0,1.0,1.0,,,,14.0,,,,,9.0,8.0,,,,,,,,,,,,,,,,5.0,1.0,,,,,,4.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,188.0,3.0,5.0,8.0,,1.0,,168.0,,,,3.0,172.0,16.0,,,,,,,,,,,,,,,,0.0,314919.0,100.0,1.0,0.0,,0.0,863577.0,WWW.EASTERSEALS.COM/NE/,31,1360294.0
971,47-0548990,Oneworld Community Health Centers Inc,OMAHA,NE,1675987200000000000,,,,,,,,,,,18.0,,2.0,10.0,,,,6.0,,,,0.0,8.0,10.0,,,,,18.0,,,1.0,14.0,,3.0,1.0,17.0,,,6.0,,,1.0,,,,5.0,,,,,4.0,2.0,,,,,6.0,,,,6.0,,,,6.0,,,619.0,13.0,10.0,421.0,,,,162.0,8.0,,,5.0,522.0,91.0,,,6.0,,,,619.0,,,,619.0,6.0,60.0,,553.0,342734.3333333333,245863.5,-39.40024986764335,0.5714285714285714,0.42857142857142855,48075.73479948253,395944.0,39174200.0,WWW.ONEWORLDOMAHA.ORG,780,72616648.0
972,47-0690207,Visiting Nurse Assocation of the Midlands,Omaha,NE,1688515200000000000,White/Caucasian/European,Female,Not transgender (cisgender),,,,,,,,17.0,1.0,0.0,1.0,,,,15.0,,,,,9.0,8.0,,,,,,,,,,,,,,,,5.0,1.0,,,,,,4.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,188.0,3.0,5.0,8.0,,1.0,,168.0,,,,3.0,172.0,16.0,,,,,,,,,,,,,,,,153638.0,314919.0,51.21348664259698,0.6666666666666666,0.3333333333333333,38165.99069767442,398604.0,8989164.0,WWW.VNATODAY.ORG,218,34105411.0
973,47-0690286,Visiting Nurse Health Services,Omaha,NE,1688571054000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,,,,,,,17.0,1.0,0.0,1.0,,,,15.0,,,,,9.0,8.0,,,,,,,,,,,,,,,,5.0,1.0,0.0,0.0,,0.0,,4.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,188.0,3.0,5.0,8.0,,1.0,,168.0,,,,3.0,172.0,16.0,,,,,,,,,,,,,,,,0.0,314919.0,100.0,1.0,0.0,,0.0,3138618.0,WWW.VNATODAY.ORG,139,5721468.0
974,47-0690846,Visiting Nurse Foundation,Omaha,NE,1688570783000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,,,,,,,17.0,1.0,0.0,1.0,,,,15.0,,,,,9.0,8.0,,,,,,,,,,,,,,,,5.0,1.0,,,,,,4.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,188.0,3.0,5.0,8.0,,1.0,,168.0,,,,3.0,172.0,16.0,,,,,,,,,,,,,,,,0.0,314919.0,100.0,1.0,0.0,,0.0,0.0,WWW.VNATODAY.ORG,0,603394.0
