ein,org_name,city,state_code,dei_last_modified,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,total_revenue
74-1918313,Fort Bend Senior Citizens Meals On Wheels & Much Much More Inc,Rosenberg,TX,2023-05-31 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,12.0,2.0,2.0,,,,,8.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,35.0,,11.0,8.0,,,,16.0,,,,,21.0,14.0,,,,,,,,,,,,,,,,3433503.0
74-2145368,Safehouse Progressive Alliance for Nonviolence Inc,Boulder,CO,2023-07-03 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,10.0,1.0,1.0,1.0,,,,6.0,1.0,,,,8.0,2.0,,,,,10.0,,,3.0,7.0,,,2.0,8.0,,,7.0,2.0,,2.0,,,,3.0,,,,,6.0,,1.0,,,,7.0,,,3.0,4.0,,,2.0,5.0,,,35.0,3.0,2.0,15.0,,2.0,,9.0,4.0,,,,27.0,3.0,5.0,,,3.0,32.0,,,11.0,24.0,,,7.0,28.0,,,3071353.0
74-2502054,The Foundation for Christian Discipleship,Spearfish,SD,2022-12-02 00:00:00,White/Caucasian/European,Male,Decline to state,Decline to state,Person without a disability,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,22.0,13.0,,,,,,,,,,,,,,,,1663815.0
74-2511974,Manos De Cristo Inc,Austin,TX,2023-07-07 00:00:00,Hispanic/Latino/Latina/Latinx,Female,Decline to state,Decline to state,Person without a disability,,,,,,16.0,1.0,,6.0,,,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,6.0,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,35.0,2.0,,21.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,3494132.0
74-2543881,Energy Outreach Colorado,DENVER,CO,2022-03-02 14:54:15,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,17.0,,,3.0,,,,13.0,1.0,,,,6.0,11.0,,,,,17.0,,,,17.0,,,,17.0,,,4.0,1.0,,,,,,3.0,,,,,1.0,3.0,,,,,4.0,,,,4.0,,,,4.0,,,35.0,2.0,1.0,3.0,,,,28.0,1.0,,,,21.0,14.0,,,,,35.0,,,2.0,33.0,,,2.0,33.0,,,54969083.0
74-3090585,Utah Arts Alliance,Salt Lake City,UT,2023-05-22 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Decline to state,Decline to state,,,,,,11.0,,1.0,1.0,,,,8.0,,,,1.0,5.0,4.0,,,2.0,,10.0,,1.0,3.0,5.0,1.0,2.0,4.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,1.0,1.0,6.0,1.0,2.0,0.0,24.0,,,,,18.0,15.0,2.0,,,1.0,34.0,,,17.0,16.0,1.0,1.0,23.0,12.0,,,1841835.0
75-1865122,Home Hospice of Grayson County,Sherman,TX,2023-07-13 00:00:00,White/Caucasian/European,Female,,,Person without a disability,,,,,,14.0,,,,,,,,,,,14.0,7.0,7.0,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,35.0,,3.0,2.0,,4.0,,25.0,1.0,,,,28.0,7.0,,,,,,,,,,,,2.0,,,33.0,5441283.0
80-0193388,Snug Harbor Cultural Center and Botanical Garden,Staten Island,NY,2022-11-01 00:00:00,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,14.0,1.0,1.0,,,,,11.0,1.0,,,,5.0,9.0,,,,0.0,14.0,0.0,0.0,,,,14.0,,,,14.0,10.0,,,1.0,,,,8.0,1.0,,,,7.0,3.0,,,,,10.0,,,2.0,8.0,,,1.0,1.0,,8.0,35.0,1.0,3.0,13.0,,,,16.0,2.0,,,,22.0,13.0,,,,,1.0,,34.0,2.0,1.0,,32.0,1.0,1.0,,33.0,6210702.0
80-0345608,Speak Up for Kids of Palm Beach County Inc,West Palm Beach,FL,2023-03-25 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,16.0,,4.0,1.0,,,,10.0,1.0,,,,11.0,5.0,,,,,,,16.0,1.0,13.0,,2.0,12.0,,,4.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,35.0,2.0,7.0,1.0,1.0,,,23.0,1.0,,,,30.0,5.0,,,,1.0,34.0,,,25.0,4.0,,6.0,,30.0,,5.0,1461902.0
81-1652178,MT CARMEL VETERANS SERVICE CENTER,COLORADO SPGS,CO,2023-07-26 00:00:00,Multi-Racial/Multi-Ethnic (2+ races/ethnicities),Male,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,13.0,,,,,,,,,,13.0,,,,,13.0,,,,13.0,,,,13.0,,,,13.0,,5.0,,,,,,,,,,5.0,,,,,5.0,,,,5.0,,,,5.0,,,,5.0,,35.0,,,,,,,,,,35.0,,,,,35.0,,,,35.0,,,,35.0,,,,35.0,,3064131.0
81-3380647,Strivetogether Inc,Cincinnati,OH,2023-02-02 00:00:00,White/Caucasian/European,Female,,,,,,,,,13.0,,7.0,,,,,5.0,1.0,,,,5.0,7.0,,,1.0,,,,,,,,,,,,,8.0,1.0,2.0,2.0,,,,3.0,,,,,5.0,3.0,,,,,,,,,,,,,,,,35.0,3.0,10.0,5.0,,,,16.0,1.0,,,,26.0,7.0,2.0,,,,,,,,,,,,,,,24548359.0
82-2835051,Dv8 Kitchen Vocational Training Foundation Inc,LEXINGTON,KY,2022-07-11 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,,,,,,,,,,,,5.0,6.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,2.0,,,,2.0,,,,2.0,,,35.0,0.0,7.0,3.0,,0.0,,22.0,3.0,,,,12.0,23.0,,,,,,,35.0,,,,35.0,,,,35.0,479824.0
83-2915874,Celebrating Life Community Health Center,Mission Viejo,CA,2022-08-28 00:00:00,White/Caucasian/European,Male,,,,,,,,,9.0,2.0,,7.0,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,5.0,2.0,,2.0,,,,1.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,35.0,14.0,1.0,20.0,,,,,,,,,30.0,5.0,,,,,,,,,,,,,,,,4895818.0
84-0614285,Conservation Colorado Education Fund,Denver,CO,2021-11-12 14:01:23,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,3.0,,,,8.0,,,,,9.0,2.0,,,,,11.0,,,,9.0,2.0,,,,,,35.0,1.0,1.0,12.0,,1.0,,20.0,,,,,23.0,12.0,,,,,,,,12.0,23.0,,,,,,,4225099.0
84-0829068,Hope Communities Inc,Denver,CO,2023-04-21 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,13.0,1.0,3.0,2.0,,,,7.0,,,,,8.0,5.0,,,,,,,,,,,,0.0,13.0,,,4.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,35.0,7.0,3.0,6.0,,,,10.0,1.0,,2.0,6.0,16.0,9.0,,1.0,9.0,1.0,26.0,1.0,7.0,1.0,27.0,,7.0,5.0,19.0,4.0,7.0,4356175.0
87-0813161,Classical Kids Music Education NFP,Chicago,IL,2020-10-15 17:17:30,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,8.0,1.0,1.0,,,,,6.0,,,,,3.0,5.0,,,,,8.0,,,3.0,5.0,,,,8.0,,,5.0,1.0,,,,,,3.0,1.0,,,,1.0,4.0,,,,,5.0,,,3.0,2.0,,,,5.0,,,35.0,1.0,3.0,1.0,,,,29.0,1.0,,,,15.0,20.0,,,,,,,,10.0,25.0,,,,35.0,,,314841.0
91-2045918,Rainier Scholars,Seattle,WA,2021-07-16 09:34:27,Hispanic/Latino/Latina/Latinx,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,25.0,3.0,6.0,2.0,,,,14.0,,,,,11.0,14.0,,,,,,,,,,,,,,,,8.0,1.0,3.0,1.0,,,,3.0,,,,,4.0,4.0,,,,,,,,,,,,,,,,35.0,9.0,9.0,6.0,,,,10.0,1.0,,,,24.0,11.0,,,,,,,,,,,,,,,,6541152.0
94-1236934,Mentis,Napa,CA,2022-04-26 16:56:41,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,,,3.0,,,,8.0,,,,,8.0,3.0,,,,0.0,11.0,,,2.0,9.0,,,,,,,4.0,,,0.0,,,,3.0,1.0,,,,3.0,1.0,,,,,4.0,,,1.0,3.0,,,,,,,35.0,,0.0,10.0,,1.0,,17.0,7.0,,,,,,,,,,,,,,,,,,,,,3130493.0
94-2820673,REALOPTIONS,San Jose,CA,2023-08-20 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,11.0,1.0,1.0,,,,,9.0,,,,,2.0,9.0,,,,,11.0,,,,11.0,,,,,,11.0,2.0,,,,,,,2.0,,,,,2.0,,,,,,2.0,,,,2.0,,,,2.0,,,35.0,,,,,,,,,,,,34.0,1.0,,,,,35.0,,,,35.0,,,,,,35.0,4656730.0
94-3176726,Destiny Arts Center,Emeryville,CA,2022-02-07 11:18:01,Asian/Asian American,Female,,,,,,,,,14.0,1.0,4.0,1.0,,0.0,,8.0,,,,,7.0,7.0,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,35.0,3.0,13.0,6.0,,,,4.0,9.0,,,,23.0,12.0,,,,,,,,,,,,,,,,2432032.0
95-3674624,Womens Economic Ventures,Santa Barbara,CA,2021-08-20 11:15:45,White/Caucasian/European,Female,,,,,,,,,15.0,2.0,,1.0,,,,12.0,,,,,13.0,2.0,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,35.0,,,12.0,,,,23.0,,,,,30.0,5.0,,,,,,,,,,,,,,,,3164689.0
05-0343046,Save the Bay Inc,Providence,RI,2023-08-23 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,21.0,,1.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,1.0,2.0,,,,30.0,1.0,,,,,,,,,,,,,,,,,,,,,7530754.0
06-0646653,United Way Inc,Hartford,CT,2022-12-19 00:00:00,White/Caucasian/European,Male,,,,,,,,,24.0,1.0,6.0,2.0,,0.0,,15.0,,,,,10.0,14.0,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,,,,,,,,,5.0,,,34.0,2.0,4.0,6.0,,,,21.0,1.0,,,,27.0,7.0,,,,,,,,,,,,0.0,34.0,,,12702734.0
13-1882114,Westchester Library System,Elmsford,NY,2021-11-10 11:12:37,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,0.0,1.0,1.0,,0.0,,14.0,1.0,,1.0,16.0,12.0,5.0,1.0,0.0,16.0,,16.0,1.0,17.0,3.0,13.0,2.0,16.0,1.0,16.0,1.0,16.0,7290234.0
13-4148824,Charity Navigator,Saddle Brook,NJ,2022-09-14 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,12.0,,1.0,,,,,11.0,,,0.0,,7.0,5.0,,,,0.0,11.0,1.0,,,12.0,,,,12.0,,,4.0,,,,,,,4.0,,,,,3.0,1.0,,,,,4.0,,,,4.0,,,,4.0,,,34.0,2.0,3.0,1.0,,0.0,,22.0,4.0,,2.0,,22.0,11.0,1.0,,,0.0,30.0,3.0,1.0,6.0,23.0,4.0,1.0,2.0,27.0,4.0,1.0,14269364.0
16-1441078,Explore & More A Childrens Museum,Buffalo,NY,2022-06-10 00:00:00,,,,,,,,,,,25.0,1.0,5.0,3.0,,,,15.0,,,1.0,,11.0,13.0,,1.0,,0.0,24.0,1.0,,,23.0,2.0,,,20.0,5.0,,7.0,,,1.0,,,,5.0,,,1.0,,5.0,2.0,,,,,5.0,2.0,,,4.0,3.0,,,7.0,,,34.0,,4.0,1.0,,,,27.0,2.0,,,,20.0,13.0,,1.0,,0.0,29.0,5.0,,2.0,25.0,7.0,,10.0,23.0,1.0,,2361705.0
20-0291592,Water for South Sudan Inc,Rochester,NY,2021-03-16 12:22:51,White/Caucasian/European,Female,Decline to state,Decline to state,Decline to state,White/Caucasian/European,Male,Decline to state,Decline to state,Decline to state,13.0,,1.0,,,1.0,,11.0,,,,,6.0,7.0,,,,,,,13.0,,,,13.0,,,,13.0,5.0,,4.0,,,,,1.0,,,,,1.0,4.0,,,,,,,5.0,,,,5.0,,,,5.0,34.0,,29.0,,,,,5.0,,,,,11.0,23.0,,,,,,,34.0,,,,34.0,,,,34.0,2647279.0
20-5359559,Laamistad Inc,Atlanta,GA,2021-04-22 10:44:53,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,12.0,,,7.0,,,,5.0,,,,,7.0,5.0,,,,,12.0,,,,,,,,,,,4.0,,1.0,2.0,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,34.0,,7.0,16.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,2280643.0
22-3087622,Romanian Childrens Relief Inc,Cape Coral,FL,2021-10-11 11:04:29,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,5.0,,,,5.0,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,34.0,,,,,,,34.0,,,,,,,,,,,,,34.0,,,,,,34.0,,,303221.0
23-1683461,Clean Air Council,PHILADELPHIA,PA,2022-02-04 16:40:09,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person with a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,5.0,,,,5.0,,,,5.0,,,,5.0,34.0,,,,,,,,,,,34.0,,,,,34.0,,,,34.0,,,,34.0,,,,34.0,2760013.0
23-1969810,Berks Connections Pretrial Services,READING,PA,2022-06-09 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,12.0,,,4.0,,,,7.0,,,1.0,,4.0,8.0,,,,,,12.0,,,6.0,6.0,,,,,,6.0,,,,,,,,,,,6.0,,,,,6.0,,,,6.0,,,,6.0,,,,6.0,34.0,,,,,,,,,,,34.0,,,,,34.0,,,,34.0,,,,34.0,,,,34.0,2494879.0
23-2775806,Maternal and Child Health Consortium of Chester County,West Chester,PA,2023-01-24 00:00:00,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),,,,,,,,10.0,1.0,1.0,,,,,8.0,,,,,8.0,2.0,,,,,10.0,,,,,,10.0,,,,10.0,5.0,,,4.0,,,,1.0,,,,,5.0,,,,,,5.0,,,,,,5.0,,,,5.0,34.0,,2.0,30.0,,,,2.0,,,,,32.0,2.0,,,,,,,34.0,,,,,,,,,2062108.0
23-7298482,Madison-Area Urban Ministry Inc,Madison,WI,2023-02-07 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,12.0,0.0,4.0,2.0,,0.0,,4.0,2.0,,,,5.0,7.0,,,,,12.0,,,1.0,11.0,,,2.0,10.0,,0.0,6.0,0.0,1.0,1.0,,0.0,,4.0,0.0,,,,5.0,1.0,,,,,6.0,,,1.0,4.0,1.0,,2.0,4.0,,,34.0,1.0,12.0,0.0,,0.0,,17.0,1.0,,,3.0,22.0,11.0,1.0,,,,,,,3.0,31.0,,,14.0,20.0,,,2098182.0
23-7343119,Greater Washington Community Foundation,Washington,DC,2023-01-19 00:00:00,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,26.0,2.0,7.0,1.0,,,,16.0,,,,,13.0,13.0,,,,,,,,,,,,,,,,7.0,0.0,3.0,,,,,4.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,34.0,1.0,17.0,2.0,,,,14.0,,,,,29.0,5.0,,,,,,,,,,,,,,,,244699070.0
23-7417420,Youth Crossroads Inc,Berwyn,IL,2023-05-08 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person with a disability,,,,,,9.0,,1.0,5.0,,,,3.0,,,,,6.0,3.0,,,,,9.0,,,,,,,,,,,5.0,,1.0,2.0,,,,2.0,,,,,5.0,,,,,,5.0,,,,,,,,,,,34.0,,6.0,18.0,,,,10.0,,,,,27.0,7.0,,,,,,,,,,,,,,,,1673267.0
26-1316408,Equal Justice USA Inc,BROOKLYN,NY,2022-11-21 00:00:00,Black/African American,Female,Decline to state,Decline to state,Decline to state,,,,,,11.0,,6.0,,,,,5.0,,,,,8.0,3.0,,,,,,,,,,,,,,,,12.0,,5.0,1.0,,,,3.0,3.0,,,,8.0,4.0,,,,,12.0,,,2.0,10.0,,,,,,,34.0,1.0,17.0,2.0,,,,11.0,3.0,,,,22.0,11.0,1.0,,,1.0,33.0,,,4.0,30.0,,,,,,,3782041.0
26-1545078,Avenue Scholars Foundation,Omaha,NE,2021-02-11 12:45:34,White/Caucasian/European,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,34.0,0.0,10.0,3.0,,0.0,,16.0,5.0,,,,22.0,12.0,,,,,,,,,,,,,,,,4937256.0
26-1721255,Workshops for Warriors Inc,San Diego,CA,2022-10-19 00:00:00,Hispanic/Latino/Latina/Latinx,Male,,,Person with a disability,,,,,,9.0,0.0,0.0,1.0,,0.0,,8.0,0.0,,0.0,0.0,2.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,6.0,,1.0,1.0,,,,4.0,,,,,3.0,3.0,,,,,,,6.0,1.0,5.0,,,3.0,3.0,,,34.0,1.0,2.0,11.0,,2.0,,13.0,5.0,,,,12.0,22.0,,,,,,,,,,,,,,,,8821074.0
26-1817966,Grace Medical Home Inc,Orlando,FL,2020-06-23 10:19:34,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,7.0,,,,,6.0,1.0,,,,,,,,,,,,,,,,34.0,0.0,1.0,16.0,,0.0,,17.0,0.0,,,,31.0,3.0,,,,,,,,,,,,,,,,5291675.0
27-5011913,Mercymed of Columbus,Columbus,GA,2023-01-30 00:00:00,White/Caucasian/European,Male,,,,,,,,,13.0,,3.0,,,,,10.0,,,,,2.0,11.0,,,,,,,,,,,,,,,,4.0,2.0,,,,,,2.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,34.0,1.0,4.0,4.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,4413451.0
31-1220252,Ensemble Theatre of Cincinnati,Cincinnati,OH,2023-06-09 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,26.0,3.0,4.0,1.0,,1.0,,14.0,3.0,,,,14.0,12.0,,,,,26.0,,,1.0,,,25.0,,26.0,,,3.0,,,,,,,3.0,,,,,1.0,2.0,,,,,3.0,,,1.0,2.0,,,,3.0,,,34.0,,4.0,,,,,26.0,,,4.0,,21.0,11.0,2.0,,,2.0,28.0,4.0,,2.0,28.0,4.0,,8.0,26.0,,,3225426.0
33-0620415,Accessity,SAN DIEGO,CA,2023-07-07 00:00:00,White/Caucasian/European,Female,,,,,,,,,17.0,4.0,2.0,5.0,,,,6.0,,,,,5.0,12.0,,,,,,,,,,,,,,,,5.0,,,4.0,,,,1.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,34.0,2.0,1.0,20.0,1.0,,1.0,9.0,,,,,28.0,6.0,,,,,,,,,,,,,,,,4197275.0
35-2319441,Roc USA LLC,Concord,NH,2022-12-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,7.0,,,,,2.0,5.0,,,,,7.0,,,1.0,6.0,,,,,,7.0,34.0,1.0,1.0,,,2.0,,19.0,3.0,,,8.0,21.0,10.0,,,3.0,,34.0,,,4.0,14.0,16.0,,2.0,32.0,,,14090679.0
36-2937848,Every Child,MOLINE,IL,2023-01-19 00:00:00,White/Caucasian/European,Male,Decline to state,Decline to state,Decline to state,,,,,,14.0,1.0,2.0,1.0,,,,8.0,,,,2.0,9.0,5.0,,,,,,,14.0,,,,14.0,,,,14.0,4.0,,,,,,,3.0,1.0,,,,2.0,2.0,,,,,,,4.0,,,,4.0,,,,4.0,34.0,,2.0,2.0,,,,25.0,3.0,,,2.0,31.0,2.0,1.0,,,1.0,,,33.0,,,,34.0,,,,34.0,2030713.0
38-1627080,Boys & Girls Clubs of Greater Kalamazoo Inc,KALAMAZOO,MI,2023-03-17 00:00:00,Decline to state,Decline to state,Decline to state,Decline to state,Decline to state,,,,,,19.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,,1.0,12.0,2.0,4.0,0.0,1.0,12.0,0.0,5.0,1.0,13.0,0.0,6.0,1.0,12.0,5.0,0.0,2.0,12.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,34.0,0.0,1.0,3.0,0.0,0.0,0.0,8.0,2.0,,0.0,20.0,8.0,5.0,1.0,0.0,20.0,0.0,12.0,2.0,20.0,4.0,9.0,1.0,20.0,1.0,13.0,0.0,20.0,4499973.0
39-0973879,The Humane Society of Southern Wisconsin Inc,JANESVILLE,WI,2023-01-20 00:00:00,White/Caucasian/European,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,34.0,,,1.0,,,,33.0,,,,,31.0,3.0,,,,,,,,,,,,,,,,4788102.0
43-0970991,Metropolitan Lutheran Ministry,Kansas City,MO,2022-07-05 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,17.0,,3.0,1.0,,,,13.0,,,,,,,,,,,17.0,,,,,,,,,,,2.0,,,,,,,2.0,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,34.0,1.0,12.0,3.0,,,,15.0,3.0,,,,,,,,,,,,,2.0,,32.0,,,,,,11500052.0
43-1372690,Welcome Home Inc,Columbia,MO,2023-02-15 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14.0,,1.0,2.0,,,,9.0,2.0,,,,4.0,10.0,,,,,,,,,,,,,,,,4.0,1.0,,,,,,3.0,,,,,2.0,2.0,,,,,,,,,,,,1.0,3.0,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,30.0,2743236.0
45-3245622,Youth Futures,Ogden,UT,2023-08-15 12:33:54,White/Caucasian/European,Female,Not transgender (cisgender),,,White/Caucasian/European,Male,Not transgender (cisgender),,,13.0,,,,,,,13.0,,,,,5.0,8.0,,,,,13.0,,,3.0,10.0,,,,,,,5.0,,,1.0,,1.0,,3.0,,,,,3.0,2.0,,,,,5.0,,,3.0,2.0,,,,,,,34.0,4.0,3.0,1.0,,1.0,,22.0,,,,3.0,22.0,9.0,2.0,,1.0,2.0,30.0,,2.0,,,,,,,,,2204258.0
46-3668128,Womens Refugee Commission Inc,NEW YORK,NY,2022-10-28 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,16.0,2.0,2.0,1.0,,,,8.0,,3.0,,,13.0,2.0,1.0,,,,16.0,,,1.0,15.0,,,,,,16.0,4.0,1.0,,,,,,3.0,,,,,2.0,2.0,,,,,4.0,,,,0.0,,4.0,,,,4.0,34.0,6.0,2.0,3.0,,,,19.0,3.0,,1.0,,28.0,5.0,1.0,,,,,,,,,,,3.0,,,31.0,7710849.0
46-5389473,Central Christian Child Development Center Inc,Lexington,KY,2022-06-14 13:23:09,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,11.0,,,,,,,11.0,,,,,10.0,1.0,,,,0.0,11.0,,,,11.0,,,,11.0,,,2.0,,,,,,,2.0,,,,,2.0,,,,,,2.0,,,,2.0,,,,2.0,,,34.0,2.0,15.0,1.0,,,,8.0,4.0,,4.0,,34.0,,,,,,34.0,,,,34.0,,,1.0,33.0,,,953302.0
